"Prognose(-interval)";"Leeftijd";"Perioden";"Regio-indeling 2021";"Totale bevolking (x 1 000)"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Gouda";"    96.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Gouda";"    98.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"'s-Gravenhage (gemeente)";"   588.1"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"'s-Gravenhage (gemeente)";"   639.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"'s-Gravenhage (gemeente)";"   680.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"'s-Gravenhage (gemeente)";"   718.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"'s-Gravenhage (gemeente)";"   755.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"'s-Gravenhage (gemeente)";"   792.1"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Haarlem";"   175.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Haarlem";"   192.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Haarlem";"   203.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Haarlem";"   213.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Haarlem";"   221.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Haarlem";"   228.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Haarlemmermeer";"   168.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Haarlemmermeer";"   186.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Haarlemmermeer";"   200.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Haarlemmermeer";"   213.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Haarlemmermeer";"   223.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Haarlemmermeer";"   233.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Hardinxveld-Giessendam";"    19.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Hardinxveld-Giessendam";"    20.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Hardinxveld-Giessendam";"    21.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Hardinxveld-Giessendam";"    21.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Hardinxveld-Giessendam";"    22.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Hardinxveld-Giessendam";"    23.1"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Heemskerk";"    40.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Heemskerk";"    41.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Heemskerk";"    43.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Heemskerk";"    44.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Heemskerk";"    45.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Heemskerk";"    46.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Heemstede";"    28.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Heemstede";"    28.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Heemstede";"    30.1"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Heemstede";"    31.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Heemstede";"    32.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Heemstede";"    33.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Heerhugowaard";"    62.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Heerhugowaard";"    65.1"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Heerhugowaard";"    67.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Heerhugowaard";"    70.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Heerhugowaard";"    72.1"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Heerhugowaard";"    74.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Heiloo";"    25.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Heiloo";"    26.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Heiloo";"    27.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Heiloo";"    28.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Heiloo";"    29.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Heiloo";"    29.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Den Helder";"    56.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Den Helder";"    55.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Den Helder";"    54.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Den Helder";"    54.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Den Helder";"    53.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Den Helder";"    53.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Hellevoetsluis";"    41.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Hellevoetsluis";"    41.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Hellevoetsluis";"    42.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Hellevoetsluis";"    42.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Hellevoetsluis";"    42.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Hellevoetsluis";"    41.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Hendrik-Ido-Ambacht";"    32.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Hendrik-Ido-Ambacht";"    34.1"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Hendrik-Ido-Ambacht";"    35.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Hendrik-Ido-Ambacht";"    37.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Hendrik-Ido-Ambacht";"    38.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Hendrik-Ido-Ambacht";"    40.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Hillegom";"    23.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Hillegom";"    25.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Hillegom";"    26.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Hillegom";"    27.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Hillegom";"    28.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Hillegom";"    29.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Hilversum";"    98.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Hilversum";"   104.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Hilversum";"   110.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Hilversum";"   116.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Hilversum";"   121.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Hilversum";"   125.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Hoeksche Waard";"    89.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Hoeksche Waard";"    90.1"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Hoeksche Waard";"    91.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Hoeksche Waard";"    91.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Hoeksche Waard";"    92.2"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Hoeksche Waard";"    92.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Hollands Kroon";"    50.0"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Hollands Kroon";"    50.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Hollands Kroon";"    51.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Hollands Kroon";"    52.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Hollands Kroon";"    53.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Hollands Kroon";"    54.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Hoorn";"    76.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Hoorn";"    81.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Hoorn";"    84.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Hoorn";"    87.1"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Hoorn";"    87.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Hoorn";"    87.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Houten";"    51.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Houten";"    53.7"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Houten";"    56.5"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Houten";"    59.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Houten";"    61.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Houten";"    63.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"Huizen";"    41.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2030";"Huizen";"    42.3"
"Bovengrens 67%-prognose-interval";"Totaal";"2035";"Huizen";"    42.9"
"Bovengrens 67%-prognose-interval";"Totaal";"2040";"Huizen";"    43.4"
"Bovengrens 67%-prognose-interval";"Totaal";"2045";"Huizen";"    43.6"
"Bovengrens 67%-prognose-interval";"Totaal";"2050";"Huizen";"    43.8"
"Bovengrens 67%-prognose-interval";"Totaal";"2025";"IJsselstein";"    34.3"
