"Prognose(-interval)";"Leeftijd";"Perioden";"Regio-indeling 2021";"Totale bevolking (x 1 000)"
"Prognose";"Totaal";"2050";"Medemblik";"    45.4"
"Prognose";"Totaal";"2025";"Montfoort";"    13.6"
"Prognose";"Totaal";"2030";"Montfoort";"    13.4"
"Prognose";"Totaal";"2035";"Montfoort";"    13.5"
"Prognose";"Totaal";"2040";"Montfoort";"    13.6"
"Prognose";"Totaal";"2045";"Montfoort";"    13.7"
"Prognose";"Totaal";"2050";"Montfoort";"    13.7"
"Prognose";"Totaal";"2025";"Nieuwegein";"    68.0"
"Prognose";"Totaal";"2030";"Nieuwegein";"    73.7"
"Prognose";"Totaal";"2035";"Nieuwegein";"    76.2"
"Prognose";"Totaal";"2040";"Nieuwegein";"    77.7"
"Prognose";"Totaal";"2045";"Nieuwegein";"    78.7"
"Prognose";"Totaal";"2050";"Nieuwegein";"    79.4"
"Prognose";"Totaal";"2025";"Oostzaan";"     9.6"
"Prognose";"Totaal";"2030";"Oostzaan";"     9.5"
"Prognose";"Totaal";"2035";"Oostzaan";"     9.5"
"Prognose";"Totaal";"2040";"Oostzaan";"     9.5"
"Prognose";"Totaal";"2045";"Oostzaan";"     9.6"
"Prognose";"Totaal";"2050";"Oostzaan";"     9.6"
"Prognose";"Totaal";"2025";"Opmeer";"    12.3"
